number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15093,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,11.08,NA,72,NA,37.4,35,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1105,spring,diurnal,no,no,0.075
15094,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,11.22,NA,85,99,36.4,34,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1113,spring,diurnal,yes,no,0.05
15095,KLK,20.44,-25.45,Pedioplanis lineoocellata,M,1969-11-29,11.4,NA,50,95,NA,NA,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1124,spring,diurnal,no,no,0.075
15096,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,11.55,NA,87,112,36.4,35,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1133,spring,diurnal,yes,no,0.135
15097,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,11.75,NA,77,93,36.8,35.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1145,spring,diurnal,yes,no,0.3
15098,KLK,20.44,-25.45,Trachylepis occidentalis,M,1969-11-29,11.78,NA,75,76,37,35.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1147,spring,diurnal,no,no,0.145
15099,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-29,11.92,NA,75,109,37,35.2,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1155,spring,diurnal,yes,no,0.1
15100,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-29,12,NA,71,83,36.4,34.6,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1200,spring,diurnal,yes,no,0.001
15101,KLK,20.44,-25.45,Trachylepis sparsa,F,1969-11-29,12.1,NA,70,76,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1206,spring,diurnal,no,no,0.05
15102,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-29,12.25,NA,73,92,37.6,35.8,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1215,spring,diurnal,yes,no,0.1
15103,KLK,20.44,-25.45,Trachylepis spilogaster,M,1969-11-29,12.35,NA,79,82,38,35.8,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1221,spring,diurnal,yes,no,0.075
15104,KLK,20.44,-25.45,Trachylepis sparsa,M,1969-11-29,12.5,NA,83,135,37,35.6,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1230,spring,diurnal,yes,no,0.055
15105,KLK,20.44,-25.45,Pedioplanis lineoocellata,M,1969-11-29,12.62,NA,51,120,NA,NA,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1237,spring,diurnal,no,no,0.05
15106,KLK,20.44,-25.45,Trachylepis spilogaster,F,1969-11-29,12.83,NA,72,94,36,36.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1250,spring,diurnal,yes,no,0.06
